1,"190,0",61,"6,3","3,5",29,90,150,16,"0,34","0,08","0,50","2,48","0,02","0,032-0,038"
2,"170,0",62,"5,9","3,6",30,95,169,15,"0,22-0,70","0,08-0,42","0,50","0,010-0,013","0,019-0,034","0,032-0,038"
3,"117,0",59,"6,7","3,5",27,97,167,9,"0,34","0,34","0,80","1,98",22,"0,032-0,038"
5,"25,0",63,"6,3","3,6",28,94,150,15,"0,22-0,70","0,08-0,42","0,46","0,010-0,013","0,019-0,034","0,032-0,038"
6,"100,0",63,"6,6","3,7",26,137,116,18,"0,22-0,70","0,08-0,42","0,65","0,010-0,013","0,019-0,034","0,032-0,038"
7а,"107,0",58,"6,7","3,7",30,147,112,33,"0,22-0,70","0,08-0,42","0,75","0,010-0,013","0,019-0,034","0,032-0,038"
7б,"27,0",42,"7,4","4,7",25,80,118,20,"0,22-0,70","0,08-0,42",0.5,"0,010-0,013","0,019-0,034","0,032-0,038"
8,"113,0",59,"7,0","4,0",28,77,116,16,"0,22-0,70","0,08-0,42","0,65","0,97-2,48","0,019-0,034","0,032-0,038"
9,"96,0",63,"6,9","3,9",25,144,111,17,"0,22-0,70","0,08-0,42","0,50","0,010-0,013","0,019-0,034","0,032-0,038"
9,"44,0",65,"6,8","4,0",27,147,115,14,"0,22-0,70","0,08-0,42","0,55","0,010-0,013","0,019-0,034","0,032-0,038"
10,"142,0",66,"6,4","4,8",29,140,166,32,"0,22-0,70","0,08-0,42","0,54","0,010-0,013","0,019-0,034","0,032-0,038"
11,"45,0",56,"7,3","3,9",29,49,108,14,"0,22-0,70","0,08-0,42","0,56","0,97-2,48","0,019-0,034","0,032-0,038"
12,"87,0",56,"7,2","3,7",28,48,119,9,"0,22-0,70","0,08-0,42","0,71","0,010-0,013","0,019-0,034","0,032-0,038"
13,"34,0",58,"7,4","3,8",28,75,117,11,"0,22-0,70","0,08-0,42","1,20","0,010-0,013","0,019-0,034","0,032-0,038"
14,"109,0",57,"7,3","3,5",29,79,116,9,"0,22-0,70","0,08-0,42","0,58","0,010-0,013","0,019-0,034","0,032-0,038"
15,"38,0",53,"7,4","3,4",28,76,115,18,"0,22-0,70","0,08-0,42","0,68","0,97-2,48","0,019-0,034","0,032-0,038"
16,"48,0",55,"7,4","3,6",26,73,119,19,"0,22-0,70","0,08-0,42","0,60","0,97-2,48","0,019-0,034","0,032-0,038"
17,"10,0",44,"7,0","3,0",30,77,110,13,"0,70","0,08","0,52",13,"0,03",38
18а,"18,0",44,"7,0","3,0",30,77,110,13,"0,70","0,08","0,52",13,"0,03",38
18б,"10,0",60,"7,8","3,9",26,89,160,13,"0,22-0,70","0,08-0,42","0,85","0,010-0,013","0,019-0,034","0,032-0,038"
19,"79,0",54,"7,0","3,3",24,75,116,18,"0,70","0,08","1,47",13,"0,03",38
19,"61,0",56,"6,9","3,5",27,82,118,12,"0,70","0,08","0,42",13,"0,03",38
20,"110,0",65,"7,4","4,0",29,88,153,17,"0,22-0,70","0,08-0,42","0,71","0,010-0,013","0,019-0,034","0,032-0,038"
21,"64,0",51,"7,5","3,8",29,89,110,19,"0,22-0,70","0,08-0,42","0,55","0,010-0,013","0,019-0,034","0,032-0,038"
22,"100,0",57,"7,4","3,8",27,91,105,14,"0,22-0,70","0,08-0,42","0,75","0,010-0,013","0,019-0,034","0,032-0,038"
23а,"122,0",58,"6,9",3.9,23,143,114,11,"0,22","0,25","0,58","0,010-0,013",34,32
23б,"47,0",58,"6,9",3.9,23,143,114,11,"0,22","0,25","0,58","0,010-0,013",34,32
24,"65,0",61,"7,3","4,0",29,89,119,8,"0,22-0,70","0,08-0,42","0,46","0,010-0,013","0,019-0,034","0,032-0,038"
25,"115,0",56,"7,2","3,8",29,48,115,10,"0,22-0,70","0,08-0,42","0,57","0,97-2,48","0,019-0,034","0,032-0,038"
26,"60,0",57,"7,3","4,0",29,76,111,12,"0,22-0,70","0,08-0,42","0,76","0,010-0,013","0,019-0,034","0,032-0,038"
27а,"20,0",53,"7,2","3,7",26,74,105,10,"0,22-0,70","0,08-0,42","0,64","0,010-0,013","0,019-0,034","0,032-0,038"
27б,"14,0",53,"7,2","3,7",26,74,105,10,"0,22-0,70","0,08-0,42","0,64","0,010-0,013","0,019-0,034","0,032-0,038"
28,"65,0",63,"7,0","3,8",29,81,178,41,"0,22-0,70","0,08-0,42","0,68","0,97-2,48","0,019-0,034","0,032-0,038"
29,"94,0",61,"7,3","4,0",29,92,109,19,"0,22-0,70","0,08-0,42","1,21","0,97-2,48","0,019-0,034","0,032-0,038"
30,"71,0",62,"7,2","3,7",26,93,157,12,"0,22-0,70","0,08-0,42","0,65","0,97-2,48","0,019-0,034","0,032-0,038"
31,"89,0",53,"6,7","3,9",26,87,110,20,"0,22-0,70","0,08-0,42","0,59","0,010-0,013","0,019-0,034","0,032-0,038"
32,"177,0",59,"6,8","4,3",24,87,167,15,"0,22-0,70","0,08-0,42","0,53","0,010-0,013","0,019-0,034","0,032-0,038"
33,"176,0",58,"6,9","4,4",27,89,173,9,"0,22-0,70","0,08-0,42","0,41","0,010-0,013","0,019-0,034","0,032-0,038"
34,"115,0",60,"7,3","4,8",27,77,116,9,"0,22","0,42","0,62",12,22,"0,032-0,038"
35,"60,0",54,"7,0","4,0",24,45,117,10,"0,22-0,70","0,08-0,42","0,52","0,010-0,013","0,019-0,034","0,032-0,038"
36,"59,0",44,"7,4","3,0",29,44,103,13,"0,22-0,70","0,08-0,42","0,52","0,010-0,013","0,019-0,034","0,032-0,038"
37,"19,0",61,"7,4","3,7",25,89,170,11,"0,46","0,17","0,40","0,01",30,"0,032-0,038"
38,"170,0",61,"7,4","3,7",25,89,170,11,"0,46","0,17","0,40","0,01",30,"0,032-0,038"
39,"69,0",65,"7,1","4,4",28,90,175,13,"0,22-0,70","0,08-0,42","1,15","0,97-2,48","0,019-0,034","0,032-0,038"
40,"65,0",64,"7,0","4,4",27,83,167,13,"0,22-0,70","0,08-0,42","0,71","0,97-2,48","0,019-0,034","0,032-0,038"
41,"35,0",61,"6,8","4,7",25,88,116,12,"0,22-0,70","0,08-0,42","0,90","0,97-2,48","0,019-0,034","0,032-0,038"
42,"37,0",59,"7,0","3,6",29,85,116,11,"0,22-0,70","0,08-0,42","0,88","0,010-0,013","0,019-0,034","0,032-0,038"
43,"60,0",54,"7,3","3,8",26,90,110,14,"0,22-0,70","0,08-0,42","0,60","0,010-0,013","0,019-0,034","0,032-0,038"
44,"125,0",53,"7,4","4,5",20,96,165,5,"0,22-0,70","0,08-0,42","0,68","0,010-0,013","0,019-0,034","0,032-0,038"
45,"103,0",54,"7,0","3,9",23,141,113,8,"0,46","0,34","0,45","0,010-0,013",19,"0,032-0,038"
46,"23,0",54,"7,0","3,9",23,141,113,8,"0,46","0,34","0,45","0,010-0,013",19,"0,032-0,038"
47,"50,0",49,"7,0","4,0",22,46,167,11,"0,22-0,70","0,08-0,42","0,66","0,010-0,013","0,019-0,034","0,032-0,038"
48,"100,0",46,"7,0","4,2",24,79,116,8,"0,22-0,70","0,08-0,42","0,47","0,010-0,013","0,019-0,034","0,032-0,038"
49,"10,6",60,"7,2","4,0",28,85,115,15,"0,22-0,70","0,08-0,42","0,75","0,010-0,013","0,019-0,034","0,032-0,038"
50,"127,0",66,"7,5","4,5",29,87,163,9,"0,22-0,70","0,08-0,42","0,51","0,010-0,013","0,019-0,034","0,032-0,038"
51,"24,0",64,"7,5","4,3",27,83,170,12,"0,22-0,70","0,08-0,42","0,50","0,010-0,013","0,019-0,034","0,032-0,038"
52,"40,0",66,"7,4","4,7",28,93,165,9,"0,22-0,70","0,08-0,42","0,73","0,010-0,013","0,019-0,034","0,032-0,038"
53,"64,0",62,"7,2","4,9",24,85,172,9,"0,22-0,70","0,08-0,42","0,59","0,010-0,013","0,019-0,034","0,032-0,038"
54,"65,0",67,"7,1","4,8",29,96,160,12,"0,22-0,70","0,08-0,42","0,53","0,010-0,013","0,019-0,034","0,032-0,038"
55,"26,0",66,"6,8","4,6",28,93,170,11,"0,22-0,70","0,08-0,42","0,88","0,010-0,013","0,019-0,034","0,032-0,038"
56,"29,0",59,"6,8","3,7",30,88,180,14,"0,22-0,70","0,08-0,42","0,76","0,010-0,013","0,019-0,034","0,032-0,038"
57,"65,0",58,"7,0","3,7",26,85,155,15,"0,22-0,70","0,08-0,42","0,88","0,97-2,48","0,019-0,034","0,032-0,038"
58,"131,0",63,"7,0","3,8",28,93,173,13,"0,22-0,70","0,08-0,42","0,63","0,010-0,013","0,019-0,034","0,032-0,038"
59,"45,0",55,"7,2","4,0",30,93,117,15,"0,22-0,70","0,08-0,42","0,70","0,010-0,013","0,019-0,034","0,032-0,038"
60а,"70,0",66,"7,6","4,5",27,97,173,8,"0,22-0,70","0,08-0,42","0,63","0,010-0,013","0,019-0,034","0,032-0,038"
60б,"11,0",66,"7,6","4,5",27,97,173,8,"0,22-0,70","0,08-0,42","0,63","0,010-0,013","0,019-0,034","0,032-0,038"
"61а,б","44,0",68,"7,4","4,8",30,96,175,10,"0,22-0,70","0,08-0,42","0,62","0,010-0,013","0,019-0,034","0,032-0,038"
62,"143,0",60,"7,2","4,6",24,88,178,9,"0,22-0,70","0,08-0,42","1,34","0,010-0,013","0,019-0,034","0,032-0,038"
63,"67,0",59,"7,5","4,0",23,96,172,10,"0,22-0,70","0,08-0,42","0,49","0,97-2,48","0,019-0,034","0,032-0,038"
64,"74,0",60,"7,0","3,7",22,91,167,12,"0,82","0,25","0,43","0,010-0,013","0,019-0,034","0,032-0,038"
65,"30,0",62,"6,6","4,0",27,78,245,15,"0,82","0,25","1,43","0,010-0,013","0,019-0,034","0,032-0,038"
66,"35,0",65,"6,9","4,0",29,92,300,17,"0,82","0,25","0,54","0,010-0,013","0,019-0,034","0,032-0,038"
67,"36,0",64,"6,8","3,8",30,88,170,19,"0,82","0,25","0,46","0,010-0,013","0,019-0,034","0,032-0,038"
68,"36,0",65,"7,0","3,8",30,89,175,15,"0,22-0,70","0,08-0,42","0,54","0,010-0,013","0,019-0,034","0,032-0,038"
